Count_UID,Count_Timestamp,Property,SKU,Item Name,Department,Counted_Qty,Counted_By,Notes
30e7fa61,10/31/2025 13:34:26,HSV,50844375451,_Medication_UK_Anti Diarrheal,Health & Beauty Taxable,4,98012455,
2e4090c7,10/31/2025 15:03:54,SBC,650726210780,_Butter Stix_JJB_13 pc,Toys,7,3f010a11,
a3a541c7,10/31/2025 15:05:44,SBC,753068880601,_Doodle and go timeless wonder_Jaq Jaq bird_1,Toys,6,3f010a11,
a64fac80,10/31/2025 15:06:52,SBC,753068880588,_Doodle it and go Dragons_Jaq Jaq bird_1,Toys,2,3f010a11,
575b04f8,10/31/2025 15:09:39,SBC,753068880397,_Doodle it and go Camping_Jaq Jaq bird_1,Toys,1,3f010a11,
76798f38,10/31/2025 15:12:22,SBC,617762139048,_Doodle it book Starry Night_Jaq Jaq bird_1,Toys,3,3f010a11,
6face326,10/31/2025 15:21:36,SBC,841654146412,_Shorts_Lazy One_Stars,Apparel,1,3f010a11,
d0808b47,10/31/2025 15:37:18,SBC,746887272290,_Game_Channel Craft_Neighborhood Yard Games,Toys,4,3f010a11,
92e498e5,10/31/2025 15:52:14,SBC,9798337895222,_Would You Rather_ Game Book_,Souvenirs/Gifts,4,3f010a11,
d71f1e15,10/31/2025 15:53:33,SBC,2025031101,_Earrings_Nine Mile Creative_Assorted,Souvenirs/Gifts,3,3f010a11,
937c9b39,10/31/2025 15:54:05,SBC,2025031101,_Earrings_Nine Mile Creative_Assorted,Souvenirs/Gifts,2,3f010a11,
97ac5a47,10/31/2025 15:54:24,SBC,190134112653,_Saving up Bank and sock set_Primitives by Kathy_2 pair,Souvenirs/Gifts,1,3f010a11,
702fab91,10/31/2025 16:19:14,HSV,786311808251,_Glow with me Bear_Wilcor,Souvenirs/Gifts,3,98012455,
c777ea98,10/31/2025 16:20:00,HSV,722950322604,_Socks_Two Left Feet_No drama llama,Apparel,2,98012455,
6f524975,10/31/2025 16:20:31,HSV,722950370902,_Socks_Two Left Feet_challenge accepted,Souvenirs/Gifts,2,98012455,
a413ecde,10/31/2025 16:21:48,HSV,612978528983,_Sock_Kerusso_Happy Camper,Apparel,3,98012455,
e191cf2b,10/31/2025 16:22:04,HSV,190134172718,_Socks_Primitives by Kathy_Take me camping,Apparel,6,98012455,
9286ad65,10/31/2025 16:22:24,HSV,190134096106,_Socks_Primitives by Kathy_My Camping,Apparel,5,98012455,
62adc72d,10/31/2025 15:54:53,SBC,2408490,_Wood Sign_HL_Bigfoot Sign,Souvenirs/Gifts,1,3f010a11,
049a5a03,10/31/2025 16:51:06,SBC,794080230937,_Headphones_Travel Palz_Plush Headphones Assorted,Toys,4,3f010a11,
4e5945a6,10/31/2025 16:51:43,SBC,14717397414,_Sewer Hose Kit_Rhino Flex_20ft,RV & Camping Supplies,13,3f010a11,
a0077b18,11/3/2025 9:11:44,MGC,192073661124,_Rain Poncho_Unknown_Keychain,Household,5,0001,
